"","PaisesEN","Populacao","PopulacaoMilhao"
"1","Afghanistan",38.0418,38041800
"2","Albania",2.8809,2880900
"3","Algeria",43.0531,43053100
"4","Andorra",0.0771,77100
"5","Angola",31.8253,31825300
"6","Antigua and Barbuda",0.0971,97100
"7","Argentina",44.7807,44780700
"8","Armenia",2.9577,2957700
"9","Australia",25.2032,25203200
"10","Austria",8.9551,8955100
"11","Azerbaijan",10.0477,10047700
"12","Bahamas",0.3895,389500
"13","Bahrain",1.6412,1641200
"14","Bangladesh",163.0462,163046200
"15","Barbados",0.287,287000
"16","Belarus",9.4524,9452400
"17","Belgium",11.5393,11539300
"18","Belize",0.3904,390400
"19","Benin",11.8012,11801200
"20","Bhutan",0.7631,763100
"21","Bolivia",11.5131,11513100
"22","Bosnia and Herzegovina",3.301,3301000
"23","Botswana",2.3037,2303700
"24","Brazil",211.0495,211049500
"25","Brunei",0.4333,433300
"26","Bulgaria",7.0001,7000100
"27","Burkina Faso",20.3214,20321400
"28","Burma",54.0454,54045400
"29","Burundi",11.5306,11530600
"30","Cabo Verde",0.5499,549900
"31","Cambodia",16.4865,16486500
"32","Cameroon",25.8764,25876400
"33","Canada",37.411,37411000
"34","Central African Republic",4.7452,4745200
"35","Chad",15.9469,15946900
"36","Chile",18.952,18952000
"37","China",1433.7837,1433783700
"38","Colombia",50.3394,50339400
"39","Comoros",0.8509,850900
"40","Congo (Brazzaville)",5.3805,5380500
"41","Congo (Kinshasa)",86.7906,86790600
"42","Costa Rica",5.0476,5047600
"43","Cote d'Ivoire",25.7165,25716500
"44","Croatia",4.1303,4130300
"45","Cuba",11.3335,11333500
"46","Cyprus",1.1986,1198600
"47","Czechia",10.6892,10689200
"48","Denmark",5.7719,5771900
"49","Diamond Princess",NA,NA
"50","Djibouti",0.9736,973600
"51","Dominica",0.0718,71800
"52","Dominican Republic",10.739,10739000
"53","Ecuador",17.3737,17373700
"54","Egypt",100.3881,100388100
"55","El Salvador",6.4536,6453600
"56","Equatorial Guinea",1.356,1356000
"57","Eritrea",3.4971,3497100
"58","Estonia",1.3256,1325600
"59","Eswatini",1.1481,1148100
"60","Ethiopia",112.0787,112078700
"61","Fiji",0.89,890000
"62","Finland",5.5322,5532200
"63","France",65.1297,65129700
"64","Gabon",2.1726,2172600
"65","Gambia",2.3477,2347700
"66","Georgia",3.9968,3996800
"67","Germany",83.517,83517000
"68","Ghana",30.4179,30417900
"69","Greece",10.4735,10473500
"70","Grenada",0.112,112000
"71","Guatemala",17.5815,17581500
"72","Guinea",12.7712,12771200
"73","Guinea-Bissau",1.9209,1920900
"74","Guyana",0.7828,782800
"75","Haiti",11.2631,11263100
"76","Holy See",8e-04,800
"77","Honduras",9.7461,9746100
"78","Hungary",9.6847,9684700
"79","Iceland",0.339,339000
"80","India",1366.4178,1366417800
"81","Indonesia",270.6256,270625600
"82","Iran",82.9139,82913900
"83","Iraq",39.3098,39309800
"84","Ireland",4.8825,4882500
"85","Israel",8.5194,8519400
"86","Italy",60.5501,60550100
"87","Jamaica",2.9483,2948300
"88","Japan",126.8603,126860300
"89","Jordan",10.1017,10101700
"90","Kazakhstan",18.5514,18551400
"91","Kenya",52.574,52574000
"92","Korea, South",51.2253,51225300
"93","Kosovo",NA,NA
"94","Kuwait",4.2071,4207100
"95","Kyrgyzstan",6.4159,6415900
"96","Laos",7.1695,7169500
